lm,item,hypothesis_id,hypothesis_instance,adaptation_dative,best_lr,best_val_performance,best_epoch,initial_delta,initial_do_pref,initial_do_mean,initial_pp_mean,final_delta,final_do_pref,final_do_mean,final_pp_mean,best_delta,best_do_pref,best_do_mean,best_pp_mean
raw,115,23,5,pp,0.1,1.8957443761825576,63,-0.45869314670562744,0.1357142857142857,-7.504248399734497,-7.045555253028869,-0.9201871701649257,0.10142857142857142,-6.1814156651496885,-5.261228494984763,-0.9270315827642168,0.10142857142857142,-6.181431171553475,-5.2543995887892585
raw,116,24,1,pp,0.1,3.0840231545766192,50,-0.4591023506437029,0.1357142857142857,-7.5061182798658095,-7.047015929222107,-1.0148510674067905,0.054285714285714284,-6.056504877635411,-5.04165381022862,-1.036205587046487,0.045714285714285714,-6.3022820408003675,-5.26607645375388
raw,116,24,1,do,0.1,5.481834216117859,50,-0.4594162825175694,0.1357142857142857,-7.505751756259373,-7.046335473741804,-0.8236531111172267,0.23,-7.424949852739061,-6.601296741621835,-0.9403812844412668,0.2257142857142857,-7.586262875284468,-6.6458815908432
raw,117,24,2,pp,0.1,0.2729741954803462,19,-0.45907942635672433,0.1357142857142857,-7.504493834631783,-7.045414408275059,-1.7016265419551304,0.015714285714285715,-11.613941336359296,-9.912314794404166,-1.0526123714447022,0.011428571428571429,-8.034648966789245,-6.982036595344543
raw,117,24,2,do,0.1,1.2604229180018116,70,-0.4595553343636649,0.1357142857142857,-7.507185824257987,-7.047630489894322,-1.2825511077472143,0.1,-8.883032087598528,-7.600480979851314,-1.2825511077472143,0.1,-8.883032087598528,-7.600480979851314
raw,118,24,3,do,0.1,2.3653029855092367,49,-0.45936774458204,0.13428571428571429,-7.508494873046875,-7.049127128464835,-1.3840895356450762,0.17857142857142858,-9.278996249267033,-7.894906713621957,-1.3007770666054317,0.22428571428571428,-7.859014863286699,-6.558237796681268
raw,118,24,3,pp,0.1,0.8600272909800211,70,-0.45844390051705497,0.13428571428571429,-7.5068817043304445,-7.048437803813389,-1.1965959913390023,0.11714285714285715,-7.933781357833317,-6.737185366494315,-1.1965959913390023,0.11714285714285715,-7.933781357833317,-6.737185366494315
raw,119,24,4,do,0.1,1.9746948067347212,31,-0.4592702627182007,0.1357142857142857,-7.509298426083156,-7.0500281633649555,-0.46026415961129324,0.29714285714285715,-5.755318451949528,-5.295054292338235,-0.7437587189674377,0.25857142857142856,-6.193449495860508,-5.449690776893071
raw,119,24,4,pp,0.1,1.134242351849874,59,-0.45942218099321636,0.1357142857142857,-7.503289527893067,-7.04386734689985,-0.57503093957901,0.21857142857142858,-6.640399035045079,-6.065368095466069,-0.5195985507965087,0.20857142857142857,-5.855392645427159,-5.33579409463065
raw,120,24,5,pp,0.1,3.887195234298706,34,-0.45938800266810825,0.1357142857142857,-7.508270329747881,-7.048882327079773,-1.2837303127561297,0.025714285714285714,-5.8649110211644855,-4.581180708408356,-1.4853408333233424,0.014285714285714285,-6.897810934611729,-5.4124701012883865
